task_id,image_path,anomaly_type,source_type
water_leak_001,4#C003-1层西侧地下室入口_2124302.jpg,water_leak,generated
water_leak_002,4#C004-3J层j预留间_227517.jpg,water_leak,generated
water_leak_003,4#C008-西侧走道北向南_1810390.jpg,water_leak,generated
water_leak_004,4#C012-1层西北角楼梯_2127294.jpg,water_leak,generated
water_leak_005,4#C017-1层102电池间过道_914727.jpg,water_leak,generated
water_leak_006,4#C030-BF层钢瓶间东北角_9768000.jpg,water_leak,generated
water_leak_007,4#C046-2层运行商接入室通道3_148684.jpg,water_leak,generated
water_leak_008,4#C060-102配电室走道3_965759.jpg,water_leak,generated
water_leak_009,4#C062-102配电室走道4_631941.jpg,water_leak,generated
water_leak_010,4#C079-2层东南过道北向南_1724037.jpg,water_leak,generated
water_leak_011,4#C092-1层运行商接入室通道4_120283.jpg,water_leak,generated
water_leak_012,水利箱进门口和过道_304051.jpg,water_leak,generated
